"id","bic","name"
co_bank_001,001,BANCO DE BOGOTA
co_bank_002,002,BANCO POPULAR
co_bank_006,006,BANCO ITAU CORPBANCA COLOMBIA
co_bank_007,007,BANCOLOMBIA
co_bank_009,009,BANCO CITIBANK COLOMBIA
co_bank_012,012,BANCO GNB SUDAMERIS
co_bank_013,013,BBVA COLOMBIA
co_bank_014,014,ITAU HELM BANK
co_bank_019,019,RED MULTIBANCA COLPATRIA
co_bank_023,023,BANCO DE OCCIDENTE
co_bank_032,032,BANCO CAJA SOCIAL
co_bank_040,040,BANCO AGRARIO DE COLOMBIA
co_bank_051,051,BANCO DAVIVIENDA
co_bank_052,052,BANCO AV VILLAS
co_bank_058,058,BANCO PROCREDIT COLOMBIA
co_bank_060,060,BANCO PICHINCHA
co_bank_061,061,BANCOOMEVA
co_bank_062,062,FALLABELLA
co_bank_063,063,BANCO FINANDINA
co_bank_064,064,Banco Multibank sa
co_bank_065,065,BANCO SANTANDER DE NEGOCIOS COLOMBIA
co_bank_066,066,BANCO COOPERATIVO COOPCENTRAL
co_bank_067,067,BANCO COMPARTIR SA
co_bank_121,121,FINANCIERA JURISCOOP
co_bank_283,283,COOPERATIVA FINANCIERA DE ANTIOQUIA
co_bank_289,289,COOPERATIVA FINANCIERA COTRAFA
co_bank_292,292,CONFIAR
co_bank_342,342,Serfinansa
co_bank_370,370,COLTEFINANCIERA
co_bank_507,507,Nequi